#{"t_start": 1736919827.828591, "env_id": "BicycleBalance-v0"}
r,l,t
-9.773896,9,4.900303
-6.348822,8,4.906302
-7.619512,9,4.914302
-6.044701,8,4.920301
-9.056375,14,4.933363
-13.733104,16,4.950911
-8.149085,12,4.962201
-4.914326,12,4.977264
-9.325079,9,4.986264
-7.511914,13,4.999266
-10.459631,11,5.010262
-8.86987,6,5.952952
-6.888986,14,5.96595
-13.418347,18,5.983952
-4.261621,16,5.99895
-5.556183,15,6.00995
-4.379564,16,6.02395
-10.567724,9,6.03195
-5.745503,13,6.04195
-9.48722,8,6.048949
-1.51873,18,6.06395
-7.184717,10,6.076969
-7.491976,10,6.08595
-3.430357,15,6.100951
-5.106482,12,6.112951
-9.16918,11,6.122951
-4.332737,12,6.133951
-6.01556,18,6.149506
-7.633409,11,6.158505
-0.21372,23,6.181505
-0.763259,20,6.199505
-3.23372,14,6.211176
-4.974481,15,6.224378
-8.728235,6,6.23138
-8.572428,7,6.237379
-9.046132,5,6.241379
4.702455,25,6.262381
-9.879722,10,6.27138
0.493168,20,6.293381
-7.741308,7,6.301691
-6.24318,13,6.314233
-2.489366,15,6.33057
-7.107061,12,6.343564
-0.11914,21,6.364581
-4.651494,12,6.375569
1.58656,25,6.401867
-10.282951,10,6.413829
4.832541,25,6.442878
-9.114347,10,6.45368
-8.613292,6,6.458681
-12.079987,13,6.47168
-7.477914,10,6.481103
-7.118018,14,6.497812
-8.347971,10,6.508232
-9.566174,6,6.514164
-7.821496,12,6.524498
-4.620502,13,6.538335
-7.836989,9,6.546575
-1.690213,17,6.561576
1.566906,25,6.581575
-8.457319,10,6.591574
-11.097203,8,6.598573
-6.251513,14,6.610788
-6.589154,8,6.617926
-2.200247,16,6.631926
-7.241145,12,6.641926
2.158942,19,6.662119
-9.259349,7,6.668628
-7.595043,11,6.679268
-3.153364,16,6.697268
-4.925265,19,6.715352
-9.553892,15,6.730554
-4.332282,14,6.744076
-5.490092,12,6.755123
-8.325818,15,6.770703
-1.613723,15,6.78537
-12.098301,17,6.804856
-2.991849,16,6.819053
-1.669523,19,6.835049
-5.18503,14,6.846053
-4.0358,22,6.864053
1.086768,21,6.881049
-0.223315,17,6.897052
-8.751229,9,6.904054
-6.860774,15,6.917049
-5.665234,15,6.92905
-8.12801,8,6.935055
-9.866266,9,6.942058
-8.76545,13,6.954051
-2.856361,19,6.969052
-9.230812,15,6.981066
-9.658891,7,6.987053
-6.066426,14,7.000072
-8.523527,21,7.017049
-6.131012,10,7.02505
-6.815352,13,7.037056
-6.11483,17,7.054056
-7.617043,13,7.066049
-11.753425,16,7.080051
-7.371886,8,7.08705
-4.825257,11,7.098051
-8.899581,14,7.11105
-5.265716,14,7.122453
-5.007628,10,7.131664
-7.744313,12,7.144206
-4.476703,13,7.156206
-7.411683,9,7.165208
-10.815626,10,7.175215
-7.076679,12,7.187206
-3.437691,16,7.20421
-8.223648,15,7.218206
-8.357319,10,7.227593
-9.234232,5,7.232596
-7.316668,10,7.240592
-11.077375,11,7.25059
-6.864112,12,7.261594
-9.599244,18,7.275591
-13.247826,10,7.284592
-1.052357,15,7.298591
-14.425423,13,7.313611
-4.765945,16,7.330592
-8.91948,15,7.344591
-7.820701,9,7.353609
-5.538079,10,7.36359
-4.430952,13,7.374592
-9.946509,9,7.382594
-7.753471,11,7.392592
-6.79834,19,7.411592
-6.761226,15,7.426594
-2.99053,18,7.444099
-7.671419,24,7.468249
-10.275097,18,7.486237
-10.580047,9,7.495235
-9.114131,12,7.506238
-6.976999,18,7.52624
-9.112442,12,7.537235
-6.703058,11,7.549235
-3.511031,12,7.564236
-7.924302,12,7.575235
-4.542366,15,7.588237
-8.117086,13,7.600235
-7.209941,11,7.609129
-9.073964,10,7.620132
-10.114992,10,7.628134
-7.075269,17,7.642134
-5.984667,16,7.655138
-10.729049,11,7.664134
-8.924871,8,7.670132
-3.412487,15,7.683132
-3.144573,13,7.693133
-7.781955,15,7.706132
-7.427125,13,7.718133
-10.87778,14,7.731135
