Step,Roll Angle 0 degree (rad unit),Roll Angle 3 degree (rad unit),Roll Angle 5 degree (rad unit),Roll Angle 7 degree (rad unit),Roll Angle 0 degree,Roll Angle 3 degree,Roll Angle 5 degree,Roll Angle 7 degree,,左边PID数据，右边强化学习数据,Step,Roll Angle 0 degree (rad unit),Roll Angle 3 degree (rad unit),Roll Angle 5 degree (rad unit),Roll Angle 7 degree (rad unit),Roll Angle 0 degree,Roll Angle 3 degree,Roll Angle 5 degree,Roll Angle 7 degree,,,,,,,,,,,,
36,-0.018299529,-0.055573655,-0.052016526,-0.079998517,-1.048485779,-3.184135884,-2.980327405,-4.583577391,,,36,0.00143609,-0.003735883,-0.004198327,-0.004087543,0.082281892,-0.214050329,-0.240546429,-0.234198991,,,,,,,,,,,,
37,-0.018271169,-0.053767635,-0.051034081,-0.081029857,-1.04686087,-3.08065856,-2.924037453,-4.642668821,,,37,0.004134001,0.001345848,-0.00333975,-0.008323103,0.23686082,0.07711141,-0.191353594,-0.476878669,,,,,,,,,,,,
38,-0.01823848,-0.052054422,-0.049914675,-0.081666529,-1.044987929,-2.982498686,-2.859900213,-4.679147439,,,38,0.006273523,0.006660252,0.000195413,-0.010491693,0.359446401,0.38160433,0.011196368,-0.601129756,,,,,,,,,,,,
39,-0.018194924,-0.050457772,-0.048686972,-0.081911877,-1.042492354,-2.891017379,-2.789558013,-4.693204844,,,39,0.008565195,0.008187611,0.00259094,-0.010005428,0.490749523,0.469115555,0.148449945,-0.573268798,,,,,,,,,,,,
40,-0.018150327,-0.048974752,-0.047380262,-0.081779994,-1.039937134,-2.806046592,-2.714689045,-4.685648505,,,40,0.007342172,0.006945043,0.004570596,-0.006458347,0.420675484,0.397921652,0.261875865,-0.370036006,,,,,,,,,,,,
41,-0.018109457,-0.047654114,-0.046023342,-0.081295353,-1.037595455,-2.730379609,-2.636943256,-4.657880621,,,41,0.003973293,0.0041362,0.006793615,0.000275723,0.227652922,0.236986803,0.38924545,0.015797747,,,,,,,,,,,,
42,-0.018069774,-0.046468312,-0.044645205,-0.080491684,-1.035321787,-2.662438159,-2.557981822,-4.611833779,,,42,-6.18E-05,0.001023497,0.005510475,0.00620258,-0.003540797,0.058642058,0.315726958,0.355381642,,,,,,,,,,,,
43,-0.018027987,-0.045430348,-0.043269429,-0.079411485,-1.032927568,-2.602967202,-2.479155664,-4.549942935,,,43,-0.003410118,-0.001263799,0.002145118,0.011348426,-0.19538539,-0.072410349,0.12290618,0.650216928,,,,,,,,,,,,
44,-0.017984211,-0.044558257,-0.041917641,-0.078101554,-1.030419388,-2.553000069,-2.401703916,-4.474889418,,,44,-0.004968731,-0.001811759,-0.001824517,0.011589153,-0.28468733,-0.103806144,-0.104537121,0.664009546,,,,,,,,,,,,
45,-0.017940423,-0.043828188,-0.04060829,-0.076612974,-1.027910521,-2.511170196,-2.32668363,-4.389600066,,,45,-0.003906245,8.13E-05,-0.005060249,0.00805113,-0.223811339,0.004658147,-0.289930924,0.461295796,,,,,,,,,,,,
46,-0.017897566,-0.043225624,-0.03935619,-0.074998336,-1.025454995,-2.476645822,-2.254943585,-4.297088123,,,46,-0.004081011,0.000619598,-0.006467747,0.002287532,-0.233824722,0.03550035,-0.370574605,0.131065915,,,,,,,,,,,,
47,-0.017855816,-0.042736238,-0.038172624,-0.073309559,-1.023062897,-2.44860607,-2.187130248,-4.200328329,,,47,-0.00406135,0.00087231,-0.005224591,-0.004171316,-0.232698228,0.049979681,-0.299347021,-0.238998781,,,,,,,,,,,,
48,-0.017813579,-0.042344862,-0.037065383,-0.071595834,-1.020642895,-2.426181877,-2.123690012,-4.102139119,,,48,-0.002794606,0.00173727,-0.005345657,-0.010017763,-0.160119149,0.099538239,-0.306283581,-0.573975531,,,,,,,,,,,,
49,-0.017770602,-0.04203586,-0.03603905,-0.069902001,-1.018180494,-2.408477366,-2.064885463,-4.005089637,,,49,0.000443256,0.00398823,-0.005289828,-0.014187338,0.025396686,0.228508747,-0.30308483,-0.812874587,,,,,,,,,,,,
50,-0.017727649,-0.041794798,-0.035096736,-0.068267307,-1.015719468,-2.394665531,-2.010894847,-3.91142857,,,50,0.001980716,0.00394688,-0.003946478,-0.015850176,0.113486667,0.226139566,-0.226116535,-0.908148173,,,,,,,,,,,,
51,-0.017685216,-0.041605565,-0.034236654,-0.06672534,-1.013288237,-2.383823279,-1.961615779,-3.823080369,,,51,0.0028516,0.002785164,-0.000590144,-0.014254476,0.163384637,0.159578142,-0.033812742,-0.816721325,,,,,,,,,,,,
52,-0.017643133,-0.041453536,-0.03345583,-0.065301462,-1.010877058,-2.375112659,-1.916877859,-3.741498169,,,52,0.003929101,0.001636991,0.001028851,-0.008899609,0.2251209,0.093792675,0.058948847,-0.509910054,,,,,,,,,,,,
53,-0.017601084,-0.041325243,-0.032749822,-0.064014639,-1.008467828,-2.367762011,-1.87642658,-3.667768642,,,53,0.00603955,0.001521736,0.002006001,-0.004184496,0.346040733,0.08718905,0.11493539,-0.239753958,,,,,,,,,,,,
54,-0.017559001,-0.041208444,-0.032112995,-0.062877283,-1.00605665,-2.361069922,-1.839939081,-3.602602943,,,54,0.005536716,-0.001283749,0.003209507,0.000795344,0.317230459,-0.0735534,0.183891188,0.045569862,,,,,,,,,,,,
55,-0.017517711,-0.041092258,-0.031538884,-0.061906952,-1.003690907,-2.354412954,-1.807044944,-3.547007072,,,55,0.003644359,-0.005013038,0.005428235,0.006249329,0.208806415,-0.28722592,0.311014947,0.35806019,,,,,,,,,,,,
56,-0.017476396,-0.040967223,-0.031020466,-0.06108503,-1.001323732,-2.347248976,-1.77734178,-3.49991441,,,56,0.001607517,-0.008096321,0.005015239,0.008064246,0.092103933,-0.463885023,0.287352051,0.462047268,,,,,,,,,,,,
57,-0.017434736,-0.040825354,-0.030550459,-0.060425483,-0.99893679,-2.339120481,-1.750412363,-3.462125151,,,57,0.000551717,-0.009230425,0.003203832,0.007133301,0.031611044,-0.528864396,0.183566079,0.408708037,,,,,,,,,,,,
58,-0.017393043,-0.040661308,-0.030122717,-0.05991346,-0.996547957,-2.329721338,-1.725904552,-3.432788394,,,58,0.001409438,-0.007444196,0.001232805,0.004552112,0.080754855,-0.426521013,0.070634513,0.260816823,,,,,,,,,,,,
59,-0.017351621,-0.040469184,-0.029729194,-0.059537027,-0.994174651,-2.318713444,-1.703357345,-3.411220372,,,59,0.000529968,-0.002179438,0.000220871,0.001498119,0.030364958,-0.124872599,0.01265496,0.085835875,,,,,,,,,,,,
60,-0.017310431,-0.040245204,-0.029362879,-0.059282856,-0.991814638,-2.305880335,-1.682369041,-3.396657446,,,60,-0.000747904,0.002972605,0.001093629,-0.000956576,-0.042851756,0.170317721,0.062660334,-0.05480775,,,,,,,,,,,,
61,-0.01726932,-0.039987056,-0.029017357,-0.059136105,-0.989459151,-2.291089544,-1.662572089,-3.388249233,,,61,-0.001265091,0.008296164,0.000195156,-0.001932614,-0.072484374,0.475335183,0.011181589,-0.110730626,,,,,,,,,,,,
62,-0.017228229,-0.03969369,-0.028686752,-0.059081667,-0.98710481,-2.27428091,-1.643629818,-3.385130166,,,62,-7.90E-05,0.009918709,-0.001112197,-0.000750592,-0.004528944,0.568300164,-0.063724183,-0.04300573,,,,,,,,,,,,
63,-0.017187866,-0.039365219,-0.028365775,-0.059102795,-0.984792181,-2.255460908,-1.62523919,-3.386340711,,,63,-0.000851223,0.008745103,-0.001656598,-0.001345726,-0.048771483,0.501057493,-0.094916072,-0.077104444,,,,,,,,,,,,
64,-0.017147406,-0.039002726,-0.028049781,-0.05918312,-0.982473993,-2.234691589,-1.607134068,-3.390942994,,,64,-0.002097046,0.005959678,-0.000492107,-0.002408455,-0.120151882,0.341464397,-0.028195643,-0.137994316,,,,,,,,,,,,
65,-0.017106579,-0.038608147,-0.02773477,-0.059306722,-0.980134779,-2.212083878,-1.589085267,-3.398024867,,,65,-0.002580298,0.00283051,-0.001310528,-0.002833975,-0.147840182,0.162176277,-0.075087712,-0.162374833,,,,,,,,,,,,
66,-0.017065711,-0.0381852,-0.027418409,-0.059458336,-0.977793215,-2.1878508,-1.570959117,-3.40671171,,,66,-0.001327951,0.000492772,-0.002590445,-0.001744491,-0.07608596,0.028233756,-0.148421576,-0.099951981,,,,,,,,,,,,
67,-0.017025101,-0.037736227,-0.027097147,-0.059623676,-0.975466433,-2.162126542,-1.55255216,-3.416184994,,,67,-0.002073912,-0.000132562,-0.003075257,0.001514668,-0.118826394,-0.007595243,-0.176199255,0.08678411,,,,,,,,,,,,
68,-0.01698471,-0.03726465,-0.026768699,-0.059789546,-0.973152199,-2.13510717,-1.533733476,-3.425688645,,,68,-0.003229913,-0.002918106,-0.001786309,0.003232051,-0.185060377,-0.167195158,-0.102347938,0.185182855,,,,,,,,,,,,
69,-0.016944375,-0.036774234,-0.02643148,-0.059944121,-0.970841174,-2.107008403,-1.51441225,-3.43454514,,,69,-0.00351631,-0.006216373,-0.002494686,0.004281288,-0.201469698,-0.356171937,-0.142934966,0.245299744,,,,,,,,,,,,
