Step,Roll Angle 0 degree (rad unit),Roll Angle 3 degree (rad unit),Roll Angle 5 degree (rad unit),Roll Angle 7 degree (rad unit),Roll Angle 0 degree,Roll Angle 3 degree,Roll Angle 5 degree,Roll Angle 7 degree,,,,,,,,,,,,
65,-0.002580298,0.00283051,-0.001310528,-0.002833975,-0.147840182,0.162176277,-0.075087712,-0.162374833,,,,,,,,,,,,
66,-0.001327951,0.000492772,-0.002590445,-0.001744491,-0.07608596,0.028233756,-0.148421576,-0.099951981,,,,,,,,,,,,
67,-0.002073912,-0.000132562,-0.003075257,0.001514668,-0.118826394,-0.007595243,-0.176199255,0.08678411,,,,,,,,,,,,
68,-0.003229913,-0.002918106,-0.001786309,0.003232051,-0.185060377,-0.167195158,-0.102347938,0.185182855,,,,,,,,,,,,
69,-0.00351631,-0.006216373,-0.002494686,0.004281288,-0.201469698,-0.356171937,-0.142934966,0.245299744,,,,,,,,,,,,
70,-0.001960406,-0.008592826,-0.00358521,0.005476904,-0.112322969,-0.492332664,-0.205417416,0.313803499,,,,,,,,,,,,
71,-0.00232382,-0.008876175,-0.003771078,0.003105106,-0.133145052,-0.508567366,-0.216066832,0.177909443,,,,,,,,,,,,
72,-0.003032289,-0.006233285,-0.002086151,-0.001145898,-0.173737343,-0.357140923,-0.119527627,-0.065655108,,,,,,,,,,,,
73,-0.002856865,-0.004658068,-0.002301824,-0.005638007,-0.163686291,-0.266887637,-0.131884772,-0.323034007,,,,,,,,,,,,
74,-0.00087968,-0.002770224,-0.002858599,-0.008948263,-0.050401928,-0.158722144,-0.163785677,-0.512697726,,,,,,,,,,,,
75,-0.00078398,0.000246689,-0.002549692,-0.009921675,-0.044918741,0.014134239,-0.146086592,-0.568470083,,,,,,,,,,,,
76,-0.001145276,0.004918509,-0.000474779,-0.007711433,-0.065619454,0.281809807,-0.027202847,-0.44183258,,,,,,,,,,,,
77,-0.000832329,0.007540499,-0.000300215,-0.001862712,-0.047688937,0.432038768,-0.017201042,-0.106725523,,,,,,,,,,,,
78,0.001048391,0.008773937,-0.000639498,0.003966724,0.060068379,0.50270956,-0.036640535,0.227276565,,,,,,,,,,,,
79,0.000888483,0.009462577,-0.000376535,0.009906857,0.050906354,0.542165725,-0.021573856,0.56762112,,,,,,,,,,,,
80,4.83E-05,0.00597857,0.001387959,0.012038132,0.002767897,0.342546829,0.079524195,0.689734167,,,,,,,,,,,,
81,-0.000308893,0.000118415,0.001050751,0.011089312,-0.017698279,0.00678468,0.060203575,0.635370759,,,,,,,,,,,,
82,0.000784521,-0.006306453,-1.25E-05,0.008194625,0.044949734,-0.361333141,-0.000717255,0.469517422,,,,,,,,,,,,
83,-0.000301219,-0.011771147,-0.000609793,0.004627946,-0.017258582,-0.674437043,-0.034938577,0.265161777,,,,,,,,,,,,
84,-0.002030857,-0.015052752,0.000251849,0.001546109,-0.116359555,-0.86245916,0.014429887,0.088585548,,,,,,,,,,,,
85,-0.003090186,-0.015120073,-0.001087169,-0.000109418,-0.177054631,-0.866316369,-0.06229022,-0.006269162,,,,,,,,,,,,
86,-0.0024259,-0.011194817,-0.003021475,0.00039435,-0.138993821,-0.641415767,-0.173117742,0.022594592,,,,,,,,,,,,
87,0.000746894,-0.003071376,-0.004188304,-0.000849019,0.042793877,-0.175976882,-0.239972139,-0.048645181,,,,,,,,,,,,
88,0.002871994,0.005473552,-0.003510022,-0.002511064,0.164553142,0.313611429,-0.201109441,-0.143873387,,,,,,,,,,,,
89,0.004772179,0.009716015,-0.000212676,-0.003440004,0.273425702,0.556686653,-0.012185459,-0.197097693,,,,,,,,,,,,
90,0.007210958,0.0103431,0.002157783,-0.002712475,0.413157441,0.592615977,0.123631858,-0.155413384,,,,,,,,,,,,
91,0.006590932,0.008261993,0.004412982,0.000351097,0.377632573,0.473377329,0.252845263,0.020116379,,,,,,,,,,,,
92,0.004193588,0.004670169,0.007262423,0.002050715,0.240274885,0.267580973,0.416106214,0.117497301,,,,,,,,,,,,
93,0.001370226,0.000792623,0.007092722,0.003299299,0.07850817,0.045413953,0.406383014,0.189035921,,,,,,,,,,,,
94,-0.000640516,-0.002307899,0.005099297,0.004885357,-0.036698864,-0.132232872,0.292168196,0.279910359,,,,,,,,,,,,
95,-0.000819978,-0.00378858,0.002574201,0.003086303,-0.046981259,-0.217069644,0.147490836,0.176832116,,,,,,,,,,,,
96,-0.00289185,-0.003014169,0.000727529,-0.000491207,-0.165690777,-0.172699162,0.041684331,-0.0281441,,,,,,,,,,,,
