encoder_value,roll_value,gyro_value,pid
-5,-1.89,-1.726,295.314
-11,-1.894,2.612,269.656
-14,-1.916,6.396,178.741
-17,-1.962,9.804,120.182
-17,-2.022,12.489,10.283
-17,-2.093,13.817,-38.781
-15,-2.168,13.792,-97.826
-12,-2.237,12.316,-121.773
-8,-2.294,9.604,-124.123
-5,-2.336,6.212,-74.054
-3,-2.356,2.382,5.236
-1,-2.358,-1.101,70.15
-1,-2.344,-3.59,156.826
-3,-2.318,-5.175,249.004
-6,-2.287,-5.363,309.61
-10,-2.262,-3.905,339.148
-15,-2.245,-1.532,356.298
-19,-2.246,1.66,316.819
-23,-2.267,5.488,265.462
-26,-2.305,8.76,203.037
-27,-2.359,11.141,125.116
-27,-2.424,12.797,59.57
-26,-2.494,13.324,9.62
-24,-2.563,12.668,-22.504
-21,-2.626,11.042,-41.243
-19,-2.678,8.654,-6.155
-16,-2.716,5.904,9.742
-14,-2.74,3.034,63.186
-13,-2.748,0.382,127.377
-14,-2.745,-1.508,209.642
-14,-2.732,-2.526,230.322
-17,-2.718,-2.646,303.939
-19,-2.706,-1.651,298.192
-23,-2.703,0.269,320.139
-28,-2.731,4.694,256.343
-30,-2.762,6.633,217.17
-30,-2.803,8.223,149.448
-30,-2.85,9.132,116.252
-30,-2.899,9.323,101.653
-29,-2.949,9.146,74.258
-27,-2.998,8.563,44.4
-26,-3.04,7.271,65.887
-24,-3.075,5.664,65.776
-22,-3.103,4.175,72.886
-22,-3.122,2.587,129.287
-21,-3.132,1.07,145.182
-21,-3.137,0.064,180.018
-21,-3.136,-0.635,198.984
-23,-3.132,-0.956,253.353
-24,-3.13,-0.526,247.278
-25,-3.131,0.379,236.884
-27,-3.138,1.434,243.763
-29,-3.151,2.616,237.136
-29,-3.17,3.82,183.827
-30,-3.195,4.711,178.023
-30,-3.222,5.241,149.884
-29,-3.254,5.81,106.3
-29,-3.289,6.084,101.337
-28,-3.321,5.622,85.015
-27,-3.352,4.986,82.56
-25,-3.379,4.261,60.593
-25,-3.401,3.1,105.246
-23,-3.416,1.934,88.38
-22,-3.426,0.986,107.121
-22,-3.431,0.027,140.86
-22,-3.431,-0.656,159.043
-22,-3.43,-0.834,164.196
-22,-3.418,-2.827,219.73
-24,-3.388,-6.044,356.009
-25,-3.36,-4.973,338.011
-28,-3.356,-0.147,269.619
-31,-3.374,3.938,198.673
-32,-3.406,6.542,119.307
-31,-3.449,8.425,29.599
