time/fps,time/iterations,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,train/approx_kl,train/explained_variance,train/std,train/n_updates,train/entropy_loss,train/clip_fraction,train/value_loss,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/loss
409,38,279.27,189,77824,278.27,0.0043911682,0.0007151365280151367,0.9524760246276855,148,-4.11072614043951,0.0157470703125,233.39378666877747,0.2,0.0003,-0.0037909407110419124,103.85806274414062
411,39,294.03,194,79872,293.03,0.004143181,0.00017207860946655273,0.9531480669975281,152,-4.109946973621845,0.0174560546875,238.2278025150299,0.2,0.0003,-0.0023967086599441245,89.13675689697266
410,40,295.66,199,81920,294.66,0.0057241814,0.0004132986068725586,0.9536446332931519,156,-4.1115675419569016,0.0391845703125,233.56001925468445,0.2,0.0003,-0.005136850624694489,113.04528045654297
412,41,314.55,203,83968,313.55,0.0042212307,5.3048133850097656e-05,0.9503821134567261,160,-4.108920864760876,0.022216796875,264.21885108947754,0.2,0.0003,-0.003301906486740336,118.1080322265625
413,42,335.67,208,86016,334.67,0.0056305947,0.00047272443771362305,0.9501137733459473,164,-4.102301523089409,0.0323486328125,174.68358039855957,0.2,0.0003,-0.0033285514364251867,85.1611557006836
415,43,328.12,212,88064,327.12,0.0064551374,0.0007734894752502441,0.9491511583328247,168,-4.10084667801857,0.0418701171875,188.21072244644165,0.2,0.0003,-0.0036519231944112107,108.5941390991211
417,44,334.34,216,90112,333.34,0.008681559,0.00017327070236206055,0.9472493529319763,172,-4.094530940055847,0.1090087890625,272.4125247001648,0.2,0.0003,-0.004293837679142598,107.08899688720703
419,45,349.33,219,92160,348.33,0.005080212,0.0001487135887145996,0.9492281675338745,176,-4.0953503921628,0.072509765625,161.8503246307373,0.2,0.0003,-8.329632692039013e-05,70.77568817138672
421,46,356.31,223,94208,355.31,0.006753672,1.817941665649414e-05,0.95072340965271,180,-4.1010390147566795,0.0362548828125,179.71534836292267,0.2,0.0003,-0.005643767304718494,63.46876525878906
423,47,369.58,227,96256,368.58,0.0057431688,0.0007631182670593262,0.9520562887191772,184,-4.1049357280135155,0.0328369140625,204.4987096786499,0.2,0.0003,-0.0030389910098165274,118.69754028320312
424,48,380.45,231,98304,379.45,0.006068893,0.0010669231414794922,0.95015949010849,188,-4.105189323425293,0.047607421875,144.20285308361053,0.2,0.0003,-0.004589960735756904,58.18051528930664
426,49,401.11,235,100352,400.11,0.0066456557,0.0005376935005187988,0.9518938064575195,192,-4.102941855788231,0.054443359375,202.82848870754242,0.2,0.0003,-0.005198820574150886,101.32968139648438
