#{"t_start": 1738843143.6598868, "env_id": "BicycleBalance-v0"}
r,l,t
-5.0,16,17.791094
-7.0,10,17.802094
8.0,21,17.820243
5.0,22,17.840244
4.0,17,17.854244
0.0,15,17.867244
-1.0,14,17.879443
6.0,19,17.895558
0.0,17,17.91485
1.0,12,17.927846
8.0,23,17.957411
-1.0,12,17.971989
13.0,24,17.998115
2.0,17,18.019282
-3.0,20,18.040318
-4.0,9,18.049999
-8.0,13,18.060999
-5.0,12,18.070998
4.0,21,18.087999
-1.0,12,18.098433
-7.0,34,18.134279
-4.0,9,18.143283
-9.0,12,18.15528
0.0,13,18.167281
-5.0,10,18.17728
5.0,32,18.207282
1.0,14,18.221531
-4.0,15,18.237531
-3.0,10,18.24853
-5.0,20,18.268626
-2.0,17,18.284237
0.0,13,18.29622
-2.0,9,18.30522
-7.0,20,18.326222
2.0,15,18.342221
-3.0,28,18.369221
0.0,15,18.382311
4.0,15,18.396047
-1.0,22,18.413631
-10.0,21,18.433629
15.0,28,18.461604
-7.0,12,18.472605
-5.0,12,18.481605
0.0,19,18.497605
-9.0,18,18.513603
5.0,16,18.529299
-2.0,11,18.5403
-10.0,17,18.5543
-4.0,11,18.564407
-7.0,14,18.576264
-1.0,14,18.589279
0.0,19,18.608265
-4.0,11,18.618265
-10.0,7,18.627266
4.0,15,18.641268
1.0,18,18.658812
-6.0,23,18.68053
-1.0,12,18.692605
4.0,17,18.706605
4.0,19,18.722103
-8.0,11,18.734168
-5.0,10,18.743167
-1.0,16,18.758167
5.0,16,18.773169
4.0,17,18.78917
1.0,18,18.80517
-4.0,9,18.813177
10.0,21,18.835168
3.0,14,18.84717
4.0,25,18.868602
-5.0,18,18.885604
-2.0,13,18.896467
-8.0,13,18.909034
11.0,24,18.930035
-2.0,13,18.942572
-2.0,13,18.953577
-2.0,19,18.969574
-3.0,8,18.975577
7.0,22,18.997571
-14.0,17,19.013573
-1.0,20,19.032811
0.0,11,19.044558
8.0,29,19.070555
-6.0,9,19.080555
-8.0,19,19.099556
-2.0,13,19.111846
-4.0,15,19.126118
-7.0,10,19.134645
-7.0,10,19.145644
-1.0,12,19.155728
-1.0,14,19.166738
-4.0,11,19.176746
-2.0,13,19.188917
-6.0,23,19.208915
-9.0,12,19.219916
-9.0,14,19.231915
-2.0,19,19.252917
-3.0,20,19.270916
-4.0,9,19.278917
4.0,19,19.295916
-1.0,16,19.309916
-3.0,16,19.322939
-9.0,32,19.353888
7.0,22,19.372883
-2.0,11,19.384883
10.0,31,19.414883
-1.0,12,19.425887
5.0,18,19.444141
2.0,15,19.460309
0.0,15,19.475309
-6.0,13,19.488312
-6.0,7,19.494309
-6.0,9,19.501618
-4.0,7,19.508825
-2.0,15,19.523745
-10.0,11,19.534744
2.0,19,19.554745
2.0,15,19.569149
-2.0,11,19.580146
-1.0,14,20.554372
-8.0,11,20.565372
0.0,13,20.576915
25.0,38,20.615915
-3.0,10,20.623914
-5.0,16,20.636915
-9.0,24,20.656916
-13.0,16,20.670064
-19.0,30,20.69706
0.0,13,20.709092
-15.0,26,20.731092
3.0,18,20.747252
-2.0,23,20.765255
-3.0,12,20.776256
-3.0,10,20.785255
-3.0,20,20.804255
-1.0,12,20.818254
-9.0,8,20.827256
7.0,28,20.853228
16.0,27,20.876227
0.0,19,20.896923
-5.0,8,20.902925
21.0,36,20.932928
-1.0,10,20.941476
-7.0,14,20.952485
-4.0,27,20.976385
4.0,17,20.990387
-1.0,14,21.005383
12.0,25,21.029666
6.0,17,21.045185
1.0,16,21.061249
-1.0,24,21.085672
4.0,15,21.105675
3.0,20,21.127227
-1.0,16,21.145226
11.0,32,21.176107
5.0,44,21.219872
-2.0,11,21.229878
-5.0,10,21.237889
5.0,18,21.25289
3.0,14,21.26488
-4.0,13,21.275881
-3.0,20,21.294877
-6.0,21,21.316644
2.0,27,21.34164
5.0,18,21.36064
-9.0,12,21.373641
-7.0,12,21.385775
-4.0,17,21.401775
2.0,23,21.423956
-5.0,16,21.440515
-8.0,19,21.456518
-1.0,14,21.469513
-9.0,12,21.481514
1.0,14,21.493515
0.0,21,21.514854
-5.0,12,21.525856
-4.0,9,21.535854
7.0,20,21.555854
-5.0,10,21.564857
2.0,19,21.583854
-9.0,16,21.597739
-8.0,7,21.603739
0.0,11,21.615739
10.0,21,21.633739
7.0,24,21.65674
5.0,18,21.671872
-4.0,15,21.684869
-5.0,26,21.70987
-3.0,10,21.720872
-1.0,14,21.732871
-8.0,21,21.752175
11.0,24,21.773178
14.0,29,21.799179
-5.0,42,21.839043
-12.0,9,21.850045
-6.0,13,21.86276
-9.0,22,21.884758
-4.0,7,21.89276
-1.0,12,21.906266
-8.0,13,21.923944
-1.0,10,21.933945
-6.0,15,21.949473
1.0,14,21.963474
1.0,20,21.983474
-2.0,9,21.991464
-15.0,22,22.011645
2.0,13,22.025755
-6.0,15,22.040862
0.0,17,22.058861
-6.0,9,22.067835
5.0,24,22.089089
-5.0,8,22.096088
-4.0,9,22.103088
7.0,18,22.119088
-10.0,15,22.134677
8.0,21,22.150676
13.0,26,22.173495
-13.0,16,22.189479
-1.0,20,22.209476
-2.0,9,22.217477
-2.0,9,22.229387
5.0,20,22.247504
8.0,19,22.264506
-2.0,11,22.274228
0.0,15,22.287522
3.0,16,22.299522
-3.0,16,22.314215
0.0,13,22.326218
-5.0,24,22.349218
15.0,32,22.37722
0.0,17,22.393219
-2.0,11,22.402218
-2.0,25,22.425875
-5.0,16,22.44188
-1.0,22,22.460584
4.0,17,23.468123
-2.0,17,23.482823
-4.0,11,23.492823
3.0,14,23.506808
5.0,18,23.525806
-8.0,13,23.537806
1.0,14,23.550067
-5.0,10,23.557573
0.0,13,23.571573
-2.0,15,23.585573
-2.0,17,23.600693
8.0,21,23.62055
-9.0,10,23.629555
2.0,13,23.640554
1.0,14,23.651554
1.0,14,23.662554
-3.0,16,23.67863
1.0,16,23.69263
8.0,21,23.711635
-6.0,11,23.721166
1.0,14,23.734162
0.0,15,23.747749
3.0,20,23.764956
2.0,27,23.789955
-3.0,10,23.799956
-7.0,10,23.810955
-2.0,13,23.823956
-1.0,14,23.836613
-4.0,7,23.842613
9.0,24,23.862614
8.0,23,23.884615
-3.0,18,23.900344
-7.0,14,23.912923
4.0,27,23.935924
1.0,16,23.949475
3.0,16,23.962475
-8.0,13,23.973475
9.0,22,23.994474
-3.0,30,24.022995
-7.0,18,24.041436
10.0,21,24.06044
-1.0,10,24.069441
-6.0,7,24.07944
-9.0,12,24.089147
-4.0,27,24.112848
-2.0,23,24.132378
4.0,17,24.148378
-7.0,12,24.158378
