encoder_value,roll_value,gyro_value,pid,predicted_pid_to_send
134,0.499,-5.399,800.0,800.0
135,0.519,-4.297,800.0,800.0
136,0.534,-3.135,800.0,800.0
137,0.558,-2.557,800.0,800.0
138,0.568,0.044,800.0,754.3
139,0.551,5.182,800.0,658.9
140,0.523,8.084,800.0,579.8
2,0.013,-2.391,-800.0,800.0
3,0.032,-4.23,137.837,800.0
4,0.056,-5.206,168.47,800.0
5,0.074,-6.395,158.674,800.0
6,0.117,-8.05,183.867,800.0
7,0.161,-8.108,257.009,800.0
8,0.187,-6.222,239.295,800.0
9,0.219,-5.212,268.422,800.0
10,0.258,-5.401,299.23,800.0
11,0.277,-2.892,286.012,784.5
12,0.274,1.194,217.853,718.2
13,0.269,3.279,202.378,686.0
14,0.248,5.621,176.772,604.1
15,0.202,8.986,96.729,507.4
16,0.155,10.49,7.481,452.7
17,0.106,11.026,-7.453,397.4
18,0.036,12.88,-70.323,319.4
19,-0.041,13.857,-111.248,258.2
20,-0.103,12.164,-78.499,244.8
21,-0.162,10.56,-92.667,209.6
22,-0.223,9.766,-110.5,190.5
23,-0.265,7.49,-40.479,203.7
24,-0.293,4.869,-66.306,245.1
25,-0.322,3.857,-9.51,259.9
26,-0.345,2.702,-5.757,280.4
27,-0.35,0.379,41.386,333.4
28,-0.35,-1.092,66.918,361.4
29,-0.352,-1.519,64.345,385.2
30,-0.342,-2.765,108.286,427.0
31,-0.323,-4.221,173.234,480.6
32,-0.307,-4.514,175.307,517.9
33,-0.285,-4.785,186.926,555.0
34,-0.255,-5.355,252.931,601.6
35,-0.234,-4.669,243.632,617.9
36,-0.218,-3.32,224.799,623.8
37,-0.199,-2.475,264.773,628.3
38,-0.192,-0.939,221.229,606.2
39,-0.197,1.235,221.118,567.6
40,-0.204,2.658,177.863,534.2
41,-0.223,4.186,169.69,485.1
42,-0.256,6.18,115.105,422.0
43,-0.289,7.135,74.476,383.9
44,-0.327,7.539,34.167,349.9
45,-0.374,8.476,-13.32,307.5
46,-0.425,8.611,-40.364,284.4
47,-0.466,7.433,-8.369,279.8
48,-0.506,6.476,-35.61,282.9
49,-0.544,5.817,-30.171,281.6
50,-0.573,4.282,-8.457,309.9
51,-0.589,2.346,26.1,344.8
52,-0.602,1.132,42.294,365.4
53,-0.611,0.08,77.637,390.8
54,-0.608,-1.479,74.596,429.6
55,-0.6,-2.735,127.548,467.2
56,-0.589,-3.377,169.268,497.6
57,-0.572,-4.203,185.757,538.5
58,-0.548,-5.014,212.029,587.3
59,-0.525,-5.035,239.907,621.1
60,-0.502,-4.655,225.624,648.6
61,-0.479,-4.213,285.978,672.1
62,-0.461,-3.21,258.818,676.4
63,-0.451,-1.749,235.796,666.3
64,-0.445,-0.282,234.182,643.5
65,-0.449,1.36,172.254,608.0
66,-0.464,3.101,190.743,563.0
67,-0.483,4.427,170.177,520.2
68,-0.509,5.448,120.154,478.5
69,-0.544,6.498,85.754,434.4
70,-0.579,7.086,-4.022,400.8
71,-0.617,7.079,15.704,380.0
72,-0.656,7.01,9.917,360.0
73,-0.694,6.569,-30.543,352.7
74,-0.728,5.578,7.079,359.8
75,-0.757,4.446,-13.561,372.4
76,-0.781,3.077,-8.875,393.5
77,-0.795,1.371,29.034,425.6
78,-0.802,-0.412,61.704,465.6
79,-0.799,-2.12,94.054,507.2
80,-0.787,-3.776,104.47,560.5
81,-0.766,-5.196,186.688,620.3
82,-0.74,-6.143,230.584,678.8
83,-0.709,-6.809,223.085,735.5
84,-0.674,-7.097,269.369,788.7
85,-0.64,-6.555,275.37,800.0
86,-0.611,-5.536,312.629,800.0
87,-0.585,-4.41,283.774,800.0
88,-0.568,-2.742,279.281,800.0
89,-0.562,-0.514,248.626,761.5
90,-0.565,1.569,175.109,720.0
91,-0.578,3.44,212.995,668.1
92,-0.604,5.471,141.089,604.8
93,-0.638,7.096,82.45,544.2
94,-0.678,7.974,74.116,498.4
95,-0.723,8.612,17.073,453.9
96,-0.772,8.786,-78.041,422.9
97,-0.817,8.079,35.328,411.1
98,-0.857,6.903,-102.966,414.8
99,-0.893,5.593,23.352,425.9
100,-0.918,3.854,-43.073,450.4
101,-0.934,1.879,64.493,483.1
102,-0.944,0.308,50.528,513.8
103,-0.945,-1.216,41.42,549.4
104,-0.935,-2.768,133.84,595.0
105,-0.923,-3.698,129.632,631.0
106,-0.906,-4.514,163.694,673.1
107,-0.88,-5.399,170.072,722.9
108,-0.855,-5.51,209.523,762.6
109,-0.832,-5.225,197.793,793.4
110,-0.803,-5.173,247.12,800.0
111,-0.779,-4.581,218.448,800.0
112,-0.764,-3.16,228.984,800.0
113,-0.75,-1.852,179.345,793.0
114,-0.745,-0.556,213.686,772.1
115,-0.751,1.247,138.104,730.3
116,-0.761,2.787,140.415,691.9
117,-0.779,3.951,110.832,651.0
118,-0.807,5.266,61.566,601.6
119,-0.837,5.964,14.91,565.1
120,-0.868,5.936,41.117,543.7
121,-0.905,5.941,-19.862,520.5
122,-0.936,5.297,-13.504,517.4
123,-0.96,3.871,-16.114,531.9
124,-0.981,2.82,3.076,538.4
125,-0.998,1.798,-31.432,554.2
126,-1.002,0.193,59.619,587.3
127,-1.001,-1.016,60.694,613.3
128,-0.999,-1.54,84.108,634.3
129,-0.991,-2.186,80.475,660.3
130,-0.98,-2.758,106.982,688.4
131,-0.97,-2.827,88.426,706.4
132,-0.958,-2.954,125.671,729.1
133,-0.943,-3.254,105.388,754.5
134,-0.93,-3.188,115.295,771.3
135,-0.916,-3.001,113.135,787.1
136,-0.902,-3.015,116.53,800.0
137,-0.89,-2.821,136.287,800.0
138,-0.879,-2.448,97.296,800.0
139,-0.868,-2.214,124.829,800.0
140,-0.86,-1.804,106.752,800.0
141,-0.855,-1.29,94.242,797.1
142,-0.85,-1.081,112.437,798.1
143,-0.847,-0.785,73.867,793.4
144,-0.848,-0.277,46.728,783.0
145,-0.848,-0.129,29.446,779.6
146,-0.849,-0.197,62.726,778.4
147,-0.852,-0.032,26.347,771.7
148,-0.854,-0.162,38.399,773.4
149,-0.852,-0.768,32.618,786.3
150,-0.85,-1.098,28.359,793.8
151,-0.847,-1.347,67.018,800.0
152,-0.838,-2.036,78.219,800.0
153,-0.828,-2.602,72.88,800.0
154,-0.817,-2.815,67.228,800.0
155,-0.802,-3.179,111.379,800.0
156,-0.787,-3.482,91.089,800.0
157,-0.772,-3.433,124.228,800.0
158,-0.755,-3.362,94.512,800.0
159,-0.74,-3.083,121.539,800.0
160,-0.728,-2.469,98.769,800.0
161,-0.717,-2.047,112.319,800.0
162,-0.709,-1.69,95.732,800.0
163,-0.705,-1.018,78.875,789.0
164,-0.702,-0.445,64.283,779.0
165,-0.701,-0.088,55.06,768.6
166,-0.705,0.367,20.021,753.5
167,-0.709,0.658,20.389,742.2
168,-0.713,0.608,21.048,737.4
