encoder_value,roll_value,gyro_value,pid,predicted_pid_to_send
703,-1.188,-0.785,233.49,0.0
704,-1.185,-0.574,237.676,0.0
705,-1.183,-0.359,255.143,0.0
706,-1.183,-0.049,260.804,0.0
707,-1.185,0.285,242.96,0.0
708,-1.187,0.586,234.8,0.0
709,-1.192,1.0,245.608,0.0
710,-1.2,1.324,226.924,0.0
711,-1.207,1.437,222.849,0.0
712,-1.215,1.634,238.776,0.0
713,-1.226,1.942,197.357,0.0
714,-1.237,2.086,223.177,0.0
715,-1.247,2.159,210.578,0.0
716,-1.261,2.342,180.894,0.0
717,-1.274,2.458,206.962,0.0
718,-1.286,2.44,173.878,0.0
719,-1.301,2.379,204.221,0.0
720,-1.314,2.138,154.586,0.0
721,-1.324,1.663,205.825,0.0
722,-1.334,1.293,182.627,0.0
723,-1.341,0.946,199.619,0.0
724,-1.344,0.355,192.45,0.0
725,-1.347,-0.008,233.333,0.0
726,-1.349,-0.111,114.717,0.0
727,-1.347,-0.368,256.649,0.0
728,-1.346,-0.445,223.574,0.0
729,-1.348,-0.329,197.853,0.0
730,-1.345,-0.484,211.809,0.0
731,-1.342,-0.544,236.743,0.0
732,-1.345,-0.315,221.439,0.0
733,-1.343,-0.399,224.487,0.0
734,-1.338,-0.605,231.034,0.0
735,-1.341,-0.199,220.101,0.0
736,-1.342,0.127,211.584,0.0
737,-1.34,-0.066,239.862,0.0
738,-1.344,0.315,197.908,0.0
739,-1.349,0.885,213.39,0.0
740,-1.352,0.816,206.179,0.0
741,-1.359,1.129,196.799,0.0
742,-1.37,1.781,177.588,0.0
743,-1.378,1.736,177.552,0.0
744,-1.387,1.645,178.374,0.0
745,-1.4,1.845,148.388,0.0
746,-1.408,1.451,166.528,0.0
747,-1.414,0.903,180.229,0.0
748,-1.422,0.816,158.74,0.0
749,-1.425,0.388,156.205,0.0
750,-1.424,-0.236,204.58,0.0
751,-1.427,-0.29,174.421,0.0
752,-1.427,-0.48,166.221,0.0
753,-1.421,-0.96,189.326,0.0
754,-1.42,-0.819,208.604,0.0
755,-1.42,-0.623,172.281,0.0
756,-1.413,-0.986,192.394,0.0
757,-1.41,-0.92,191.553,0.0
758,-1.411,-0.483,180.012,0.0
759,-1.406,-0.759,188.571,0.0
760,-1.401,-1.051,197.673,0.0
761,-1.401,-0.644,187.041,0.0
762,-1.398,-0.603,186.918,0.0
763,-1.393,-0.867,195.288,0.0
764,-1.393,-0.412,183.348,0.0
765,-1.393,-0.04,173.796,0.0
766,-1.39,-0.206,179.052,0.0
767,-1.393,0.169,168.829,0.0
768,-1.398,0.67,154.911,0.0
769,-1.399,0.487,137.417,0.0
770,-1.403,0.574,165.927,0.0
771,-1.411,0.92,146.57,0.0
772,-1.413,0.508,112.311,0.0
773,-1.415,0.097,163.501,0.0
774,-1.419,0.158,129.822,0.0
775,-1.419,-0.404,153.931,0.0
776,-1.413,-1.192,153.808,0.0
777,-1.411,-1.205,163.789,0.0
778,-1.407,-1.256,166.154,0.0
779,-1.398,-1.755,159.055,0.0
780,-1.391,-1.777,170.108,0.0
781,-1.386,-1.475,163.416,0.0
782,-1.376,-1.619,169.376,0.0
783,-1.369,-1.568,192.099,0.0
784,-1.366,-1.052,147.899,0.0
785,-1.36,-0.983,156.43,0.0
786,-1.355,-0.969,179.86,0.0
787,-1.355,-0.505,136.391,0.0
788,-1.353,-0.489,168.04,0.0
789,-1.348,-0.668,142.522,0.0
790,-1.35,-0.319,142.134,0.0
791,-1.349,-0.224,139.919,0.0
792,-1.345,-0.561,149.861,0.0
793,-1.346,-0.462,147.383,0.0
794,-1.346,-0.241,141.697,0.0
795,-1.343,-0.534,127.97,0.0
796,-1.342,-0.59,138.809,0.0
797,-1.342,-0.327,132.047,0.0
798,-1.338,-0.588,117.372,0.0
799,-1.336,-0.742,153.559,0.0
800,-1.337,-0.427,113.912,0.0
801,-1.334,-0.597,105.553,0.0
802,-1.33,-0.938,147.093,0.0
803,-1.329,-0.834,113.418,0.0
804,-1.326,-1.04,128.635,0.0
805,-1.317,-1.486,142.362,0.0
806,-1.313,-1.468,142.925,0.0
807,-1.307,-1.54,123.663,0.0
808,-1.296,-1.975,146.614,0.0
809,-1.298,0.053,92.609,0.0
810,-1.32,3.903,-58.547,0.0
811,-1.338,3.752,5.016,0.0
812,-1.342,0.624,69.333,0.0
813,-1.339,-1.25,97.294,0.0
814,-1.33,-2.36,115.205,0.0
815,-1.316,-3.199,126.969,0.0
816,-1.302,-3.301,119.073,0.0
817,-1.286,-3.588,138.831,0.0
818,-1.263,-4.391,164.828,0.0
819,-1.241,-4.673,176.997,0.0
820,-1.22,-4.474,176.035,0.0
821,-1.195,-4.36,200.576,0.0
822,-1.173,-3.985,186.202,0.0
823,-1.157,-3.192,191.028,0.0
824,-1.141,-2.549,190.935,0.0
825,-1.129,-1.901,189.817,0.0
826,-1.124,-0.815,153.171,0.0
827,-1.122,0.036,153.775,0.0
828,-1.122,0.552,153.739,0.0
829,-1.13,1.395,121.211,0.0
830,-1.139,1.988,103.877,0.0
831,-1.148,2.082,122.25,0.0
832,-1.162,2.407,79.67,0.0
833,-1.177,2.544,59.832,0.0
834,-1.187,2.135,77.8,0.0
835,-1.2,1.895,59.373,0.0
836,-1.212,1.595,74.072,0.0
837,-1.216,0.717,51.776,0.0
838,-1.219,-0.066,89.97,0.0
839,-1.221,-0.58,36.044,0.0
840,-1.214,-1.583,135.798,0.0
841,-1.203,-2.609,102.604,0.0
842,-1.192,-3.023,133.707,0.0
843,-1.174,-3.645,153.968,0.0
844,-1.152,-4.333,176.772,0.0
845,-1.133,-4.271,178.987,0.0
846,-1.111,-4.14,180.11,0.0
847,-1.087,-4.188,208.651,0.0
848,-1.07,-3.532,208.472,0.0
849,-1.054,-2.636,201.487,0.0
850,-1.04,-2.049,202.519,0.0
851,-1.033,-0.959,166.128,0.0
852,-1.033,0.313,177.581,0.0
853,-1.034,1.014,141.182,0.0
854,-1.042,1.857,162.394,0.0
855,-1.056,2.903,91.707,0.0
856,-1.07,3.296,87.65,0.0
857,-1.087,3.473,79.926,0.0
858,-1.108,3.819,66.765,0.0
859,-1.126,3.501,49.319,0.0
860,-1.141,2.802,74.068,0.0
861,-1.157,2.413,36.471,0.0
862,-1.168,1.577,74.429,0.0
863,-1.171,0.243,87.028,0.0
864,-1.172,-0.639,96.769,0.0
865,-1.169,-1.392,81.479,0.0
866,-1.157,-2.513,154.14,0.0
867,-1.144,-3.283,145.944,0.0
868,-1.128,-3.634,167.434,0.0
869,-1.105,-4.182,186.756,0.0
870,-1.083,-4.336,217.768,0.0
871,-1.064,-3.855,199.9,0.0
872,-1.043,-3.565,219.152,0.0
873,-1.021,-3.031,223.017,0.0
874,-1.01,-1.744,204.877,0.0
875,-1.001,-0.703,215.257,0.0
876,-0.996,0.157,175.755,0.0
877,-1.002,1.62,158.331,0.0
878,-1.013,2.847,137.377,0.0
879,-1.027,3.559,129.646,0.0
880,-1.05,4.54,90.254,0.0
881,-1.076,5.152,91.532,0.0
882,-1.099,4.887,40.36,0.0
883,-1.127,4.762,56.329,0.0
884,-1.154,4.645,31.837,0.0
885,-1.173,3.528,44.279,0.0
886,-1.188,2.221,62.555,0.0
887,-1.201,1.284,71.656,0.0
888,-1.203,-0.212,75.013,0.0
889,-1.197,-1.827,114.58,0.0
890,-1.188,-2.812,129.191,0.0
891,-1.171,-3.843,169.001,0.0
892,-1.147,-4.835,200.089,0.0
893,-1.124,-5.095,189.35,0.0
894,-1.098,-5.068,247.704,0.0
895,-1.07,-4.937,232.089,0.0
896,-1.048,-4.199,239.597,0.0
897,-1.029,-3.083,249.953,0.0
898,-1.014,-1.906,226.482,0.0
899,-1.009,-0.418,224.204,0.0
900,-1.011,1.181,186.205,0.0
901,-1.019,2.404,165.97,0.0
902,-1.035,3.563,145.907,0.0
903,-1.057,4.728,124.363,0.0
904,-1.083,5.308,72.768,0.0
905,-1.111,5.528,93.008,0.0
906,-1.141,5.623,30.952,0.0
907,-1.169,5.13,56.507,0.0
908,-1.193,4.288,51.858,0.0
909,-1.215,3.473,55.676,0.0
910,-1.232,2.349,46.382,0.0
911,-1.24,0.963,99.643,0.0
912,-1.243,-0.319,65.717,0.0
913,-1.24,-1.596,127.229,0.0
914,-1.227,-2.873,163.878,0.0
915,-1.211,-3.769,145.899,0.0
916,-1.192,-4.33,205.16,0.0
917,-1.166,-4.771,213.14,0.0
918,-1.143,-4.723,216.532,0.0
919,-1.122,-4.2,229.595,0.0
920,-1.099,-3.742,258.12,0.0
921,-1.083,-2.974,223.338,0.0
922,-1.072,-1.701,236.923,0.0
923,-1.063,-0.638,215.312,0.0
924,-1.063,0.505,221.206,0.0
925,-1.071,1.935,164.172,0.0
926,-1.081,2.884,159.666,0.0
927,-1.097,3.685,148.961,0.0
928,-1.121,4.664,109.625,0.0
929,-1.145,5.019,95.713,0.0
930,-1.169,5.026,90.958,0.0
931,-1.198,5.254,57.063,0.0
932,-1.225,4.975,68.205,0.0
933,-1.247,4.153,63.376,0.0
934,-1.269,3.478,41.241,0.0
935,-1.286,2.565,57.62,0.0
936,-1.293,1.14,103.046,0.0
937,-1.297,-0.134,68.812,0.0
938,-1.296,-1.218,124.747,0.0
939,-1.285,-2.497,138.582,0.0
940,-1.271,-3.55,178.34,0.0
941,-1.253,-4.182,176.388,0.0
942,-1.228,-4.831,207.68,0.0
943,-1.203,-5.104,242.61,0.0
944,-1.18,-4.684,249.772,0.0
945,-1.156,-4.256,234.436,0.0
946,-1.134,-3.578,265.829,0.0
947,-1.121,-2.213,259.541,0.0
948,-1.112,-0.944,209.944,0.0
949,-1.108,0.24,224.593,0.0
950,-1.115,1.947,205.237,0.0
951,-1.131,3.453,144.556,0.0
952,-1.148,4.347,140.159,0.0
953,-1.174,5.364,99.442,0.0
954,-1.207,6.186,71.332,0.0
955,-1.236,6.043,69.526,0.0
956,-1.266,5.633,29.806,0.0
957,-1.299,5.421,46.955,0.0
958,-1.325,4.527,43.373,0.0
959,-1.344,2.997,44.31,0.0
960,-1.36,1.696,48.775,0.0
961,-1.365,0.157,84.238,0.0
962,-1.36,-1.751,99.96,0.0
963,-1.35,-3.111,155.976,0.0
964,-1.332,-4.256,145.267,0.0
965,-1.306,-5.461,222.907,0.0
966,-1.278,-5.891,208.58,0.0
967,-1.249,-5.861,245.053,0.0
968,-1.216,-5.809,263.825,0.0
969,-1.189,-5.019,262.053,0.0
970,-1.168,-3.739,268.41,0.0
971,-1.14,-4.619,302.151,0.0
972,-1.103,-6.665,399.964,0.0
973,-1.076,-4.862,362.321,0.0
974,-1.068,-0.382,281.379,0.0
975,-1.078,3.46,204.926,0.0
976,-1.107,6.585,166.094,0.0
977,-1.147,8.611,122.964,0.0
978,-1.191,9.747,66.444,0.0
979,-1.247,10.94,1.688,0.0
980,-1.308,11.771,-23.3,0.0
981,-1.367,11.332,-45.476,0.0
982,-1.419,10.21,-84.246,0.0
983,-1.469,9.331,-21.346,0.0
984,-1.516,8.643,-43.47,0.0
985,-1.556,7.96,-24.142,0.0
986,-1.597,7.669,-24.296,0.0
987,-1.639,7.789,-57.963,0.0
988,-1.678,7.662,-30.694,0.0
989,-1.717,7.463,-64.308,0.0
