Step,Roll Angle 0 degree (rad unit),Roll Angle 3 degree (rad unit),Roll Angle 5 degree (rad unit),Roll Angle 7 degree (rad unit),Roll Angle 0 degree,Roll Angle 3 degree,Roll Angle 5 degree,Roll Angle 7 degree
155,-0.013800154,-0.010550685,-0.003984647,-0.037592197,-0.790690581,-0.604509721,-0.228303456,-2.153874231
156,-0.013767851,-0.010377301,-0.003874904,-0.037377506,-0.788839755,-0.59457555,-0.222015645,-2.141573343
157,-0.013734401,-0.010206097,-0.003767687,-0.037164741,-0.786923211,-0.584766283,-0.215872564,-2.129382806
158,-0.013700802,-0.010037045,-0.003662828,-0.036946776,-0.784998131,-0.575080317,-0.209864585,-2.116894331
159,-0.013668328,-0.009870128,-0.003560285,-0.03672817,-0.783137507,-0.565516678,-0.203989304,-2.10436913
160,-0.013636068,-0.009705601,-0.003460011,-0.036509623,-0.781289146,-0.556089975,-0.198244027,-2.09184731
161,-0.013603335,-0.009543204,-0.003361976,-0.036291263,-0.779413683,-0.546785312,-0.192627036,-2.079336203
162,-0.013570346,-0.009382887,-0.003266141,-0.036073169,-0.777523552,-0.537599825,-0.187136095,-2.066840337
163,-0.013537555,-0.009224613,-0.003172482,-0.035861746,-0.775644766,-0.528531393,-0.181769829,-2.054726692
164,-0.01350505,-0.009068364,-0.003080962,-0.035651974,-0.773782367,-0.519578984,-0.176526119,-2.042707642
165,-0.013472651,-0.00891412,-0.002991661,-0.03544299,-0.771926041,-0.510741454,-0.171409549,-2.03073374
166,-0.013440223,-0.008761866,-0.002904451,-0.035234564,-0.770068054,-0.502017942,-0.166412784,-2.01879181
167,-0.013408328,-0.008611591,-0.002819282,-0.035026584,-0.768240605,-0.493407819,-0.16153296,-2.006875434
168,-0.013376348,-0.008463507,-0.002736119,-0.034818967,-0.766408286,-0.484923231,-0.156768071,-1.994979856
169,-0.013344101,-0.008317411,-0.002654921,-0.034612032,-0.764560669,-0.476552547,-0.152115768,-1.983123354
170,-0.013311846,-0.008173243,-0.002575658,-0.034405454,-0.762712593,-0.468292329,-0.147574333,-1.971287306
171,-0.013279783,-0.008030979,-0.002498306,-0.034199151,-0.760875519,-0.460141202,-0.14314239,-1.959467015
172,-0.013247888,-0.007890603,-0.002422828,-0.033993088,-0.75904807,-0.45209825,-0.138817819,-1.947660475
173,-0.013216041,-0.007752102,-0.002349282,-0.033787277,-0.757223371,-0.444162727,-0.134603943,-1.935868373
174,-0.013184193,-0.007615465,-0.002277561,-0.03358173,-0.755398615,-0.436334004,-0.130494633,-1.924091398
175,-0.013152917,-0.007480665,-0.002207621,-0.033376469,-0.753606632,-0.428610532,-0.126487366,-1.912330809
