#{"t_start": 1736923110.9902515, "env_id": "BicycleBalance-v0"}
r,l,t
-8.915786,9,6.660569
-6.540178,17,6.677115
-8.080281,15,6.69241
-5.477394,12,6.704411
-3.008798,16,6.718598
-8.592198,7,6.72572
-6.552544,17,6.74608
-7.900196,10,6.756532
2.118919,22,6.779419
-8.337983,11,6.791674
-7.531345,9,6.800158
-5.765819,9,6.809165
-9.374658,7,6.815162
-3.728292,13,6.827441
-4.94126,15,6.844652
-5.477741,13,6.85912
-7.512642,10,6.869687
-3.899163,18,6.886708
-7.584877,8,6.893702
-11.060703,9,6.902701
-7.91976,12,6.914692
-5.124832,15,6.927695
-9.605731,12,6.941692
-4.003637,10,6.950691
-11.8399,9,6.959707
0.931988,19,6.97726
-6.760185,14,6.990259
-3.447274,16,7.006255
-6.261796,9,7.015254
-6.886659,12,7.026252
-5.648698,16,7.046317
-8.813085,12,7.058777
-11.876615,12,7.072546
-6.941316,14,7.088205
-3.482411,12,7.099884
-8.888812,9,7.109395
-9.494481,7,7.116905
-7.784317,21,7.146005
-8.790823,14,7.159501
-11.583176,12,7.172504
-6.424587,13,7.184504
-8.104152,10,7.193501
-6.858768,11,7.203512
-10.031957,11,7.213509
-9.857045,10,7.223514
-12.867209,11,7.23351
-9.888175,14,7.248502
-7.252507,9,7.257503
-5.627286,20,7.278124
-7.064202,13,7.291049
-6.565556,14,7.304116
-10.081123,11,7.315043
-4.52799,13,7.325042
-10.196115,15,7.339051
-5.445168,18,7.359052
-2.119177,18,7.375045
-9.832406,8,7.383482
-5.60818,14,7.397479
7.947348,30,7.426477
-8.260364,10,7.437487
-10.189785,10,7.447906
-7.760779,9,7.461843
-5.569667,15,7.479268
-7.557882,12,7.493268
-9.033241,7,7.500281
-4.386756,11,7.510284
-7.411015,10,7.518278
-10.253905,17,7.534267
-2.490159,13,7.54593
-8.207076,19,7.565867
-10.146345,6,7.571867
-6.165731,10,7.580866
-8.515923,10,7.591647
-8.550089,8,7.598647
-5.489267,18,7.615648
-10.414987,22,7.635802
-7.256853,22,7.65971
-6.828834,12,7.669794
-5.41464,18,7.689711
-7.282484,12,7.70349
-4.879015,9,7.712478
-7.088887,14,7.725808
-6.646261,17,7.739808
-8.154737,15,7.756408
1.224039,19,7.777973
-3.644943,13,7.788981
-10.322069,10,7.800901
-4.878634,12,7.810899
-8.312755,7,7.817975
-6.335561,22,7.836899
-8.496524,7,7.843901
1.993664,33,7.880901
-4.446557,15,7.895901
-6.31172,12,7.907963
-7.085279,8,7.916986
-9.352473,11,7.928902
-7.749273,8,7.936904
-6.970524,18,7.95295
-9.151908,11,7.96391
-5.619132,11,7.977452
-6.782535,10,7.988868
-5.996525,9,7.9968
-5.481584,11,8.006789
-4.171432,13,8.018789
-6.116288,10,8.027868
-5.241151,15,8.043789
-9.584755,7,8.05079
-7.088587,10,8.0608
-10.254652,10,8.071789
-9.721627,10,8.080788
-6.651879,18,8.098876
-8.948821,9,8.106791
-7.88598,17,8.122793
-7.812917,10,8.132791
-6.334771,11,8.14279
-9.774018,16,8.15779
-4.700903,13,8.173303
-7.255585,12,8.187308
-8.382993,8,8.195307
-6.882439,11,8.207303
-3.811303,21,8.23379
-6.955954,11,8.245172
-11.514696,12,8.259669
-8.58146,10,8.270182
-8.281882,12,8.285359
-9.063465,8,8.293369
10.424929,30,8.325249
-11.861087,12,8.338269
-9.262528,12,8.350326
-8.081126,17,8.368724
-4.284007,12,8.382674
-3.036202,18,8.399801
-13.105952,14,8.413807
-6.786838,13,8.426806
0.582139,26,8.449841
-7.647855,11,8.459841
-7.545746,8,8.468905
-7.133349,10,8.478904
-3.064669,15,8.496837
-4.11888,16,8.513915
-8.735337,14,8.52884
-5.189655,13,8.542839
-3.369665,11,8.55384
-3.791812,12,8.564838
-4.52222,12,8.577927
-9.805516,8,8.589846
7.82083,33,8.619847
-3.333303,14,8.632413
-5.205627,15,9.675652
-7.328361,10,9.686642
-3.911498,11,9.698639
-4.825467,9,9.706639
-2.448685,17,9.72665
-5.285301,22,9.748837
-7.763437,11,9.759836
-3.165648,14,9.774837
-7.750372,11,9.784852
-8.625455,8,9.792836
-9.839377,12,9.804844
-6.701985,13,9.817838
-10.223941,11,9.833373
-2.948908,17,9.84937
3.531941,23,9.876799
-7.743923,11,9.889798
-6.285628,14,9.905378
-11.945865,19,9.930575
-5.395723,13,9.943809
-4.455516,11,9.955812
-8.587285,19,9.975435
-7.390584,10,9.983934
-6.019962,15,9.999368
-6.993557,11,10.009372
-2.765831,17,10.031707
-11.219382,14,10.048903
-4.509687,10,10.059909
-5.665003,10,10.071909
-5.279469,17,10.087908
-2.950946,16,10.102909
-8.80796,17,10.118923
-3.467611,18,10.138919
-11.851933,13,10.153121
-6.43829,12,10.166119
-12.986571,10,10.17713
-5.774,12,10.19012
-2.758174,18,10.206119
-2.424649,21,10.225199
-8.63838,6,10.231131
-5.564123,12,10.24512
-0.726665,22,10.266127
-9.056948,10,10.284566
-4.679634,11,10.297093
-11.835589,11,10.307095
-7.436396,11,10.316096
-8.026348,13,10.32749
0.193231,17,10.346421
-8.412252,19,10.364486
-5.682873,16,10.381276
-8.668041,13,10.395379
-9.029544,10,10.40453
-9.112918,8,10.411529
-8.106688,9,10.420527
-10.843882,12,10.432528
-0.955154,27,10.460529
3.838477,20,10.479529
-7.921778,16,10.497563
-1.201395,13,10.50957
-7.368597,16,10.525577
0.833899,19,10.545747
-8.704315,15,10.559794
4.916141,27,10.587792
-13.326036,22,10.609792
-5.2506,16,10.624346
-7.013021,20,10.643346
-1.453089,17,10.661346
-7.755277,11,10.672356
-9.458598,6,10.679856
-2.898374,24,10.705929
-3.425164,16,10.720863
-6.671726,12,10.731859
-8.925157,12,10.743854
-1.945166,14,10.757855
-5.046643,24,10.784856
-2.345221,17,10.801858
0.392373,25,10.824867
-9.773604,14,10.837854
-7.285243,11,10.848857
-1.856726,13,10.863855
-10.183852,6,10.870934
-9.214779,10,10.880865
-9.66398,8,10.889858
-0.396372,17,10.905854
1.156608,24,10.928868
-9.044803,11,10.938854
-7.868303,8,10.945853
-3.949227,13,10.961853
-8.827027,11,10.973554
-4.798194,12,10.986572
-9.935112,17,11.001558
-8.240732,18,11.01856
-4.092844,15,11.03164
-6.556263,10,11.040557
-11.971562,20,11.065623
-2.888931,18,11.088562
-2.448433,15,11.105988
-6.885559,9,11.115998
-7.75426,8,11.124301
-6.728114,8,11.13334
2.793674,26,11.163846
-6.781062,11,11.175846
2.146343,19,11.203112
-10.27981,10,11.215327
-1.495617,23,11.239428
-1.721182,15,11.252986
-4.720771,11,11.266984
-3.712894,17,11.283958
-8.516211,9,11.294507
-5.111481,17,11.311837
-8.273373,10,11.32336
-11.168734,21,11.344216
-5.735805,28,11.375602
-5.005144,14,11.388602
-5.303277,14,11.404463
-5.251217,10,11.413519
-3.722016,17,11.428705
-7.887802,14,11.441593
-10.07081,7,11.447591
-7.578945,9,11.457124
-8.227467,13,11.470062
-4.918344,12,11.48106
-7.038029,10,11.491098
-3.222928,14,11.504401
-7.569234,9,11.514329
-10.509798,12,11.527562
-7.257069,19,11.546646
-6.668294,11,11.556561
-4.644959,13,11.572634
-4.266343,14,11.587639
-9.367849,8,11.595392
1.560335,28,11.62208
-3.807713,11,11.634086
-8.239622,13,11.647086
-3.262404,14,11.660288
-7.507629,11,11.669288
-2.761962,18,11.688285
-7.900829,14,11.699286
2.067471,17,11.71638
-11.416066,10,11.725285
-4.708787,12,11.73529
-5.247649,11,11.745368
-11.984674,12,11.757298
-4.581342,15,11.772293
-5.292569,10,11.785286
-0.558721,26,12.792387
-3.369181,20,12.81538
-7.889116,11,12.826307
-9.792698,10,12.838302
-4.689147,12,12.850302
-8.519843,11,12.861305
-12.612062,17,12.878305
-6.331899,11,12.889377
11.298851,33,12.923305
-3.818249,12,12.937423
-7.106328,16,12.958768
-7.299923,15,12.975355
-10.262473,11,12.988354
-7.387401,13,13.007353
-7.80198,13,13.028598
-5.81666,15,13.043613
-7.112856,16,13.061105
-0.919671,16,13.077372
-6.59398,21,13.098813
-7.623512,12,13.108822
-7.00738,11,13.120815
-2.651781,15,13.134311
-7.472749,8,13.142331
-8.954588,18,13.16084
-7.599047,10,13.171831
-2.804604,15,13.185831
-9.618716,16,13.200828
-3.604878,13,13.217831
-9.386592,10,13.227837
-5.103225,15,13.240837
-7.44821,15,13.258167
-7.822586,11,13.269176
-9.877543,8,13.275169
-8.748552,13,13.28717
-10.98125,19,13.305179
-8.297814,14,13.31717
-8.317484,9,13.329053
-1.817123,20,13.347064
2.859199,32,13.379567
-10.059095,10,13.391565
-7.045061,14,13.410793
-4.882059,12,13.43002
-12.306997,10,13.440033
-9.678791,9,13.451441
-8.599057,11,13.464098
-4.775176,14,13.477545
-12.414785,15,13.493545
-5.238821,11,13.505572
-5.319036,21,13.527581
-7.624893,9,13.536571
-7.237849,16,13.550575
-3.502381,15,13.564573
-8.119768,14,13.57657
-7.879903,15,13.590895
-9.533573,10,13.601229
-6.088554,11,13.612244
-3.81164,22,13.638768
-2.296008,13,13.652818
-6.177904,11,13.663826
-9.376927,17,13.680924
-5.915632,17,13.699926
-9.148265,8,13.706927
-3.097556,15,13.72318
-9.014762,7,13.730177
-6.80696,10,13.743358
-6.909147,16,13.759357
-7.445849,10,13.770366
-6.630435,12,13.782358
-7.086804,8,13.789632
-8.057423,10,13.798637
-4.617508,16,13.813637
-7.324599,9,13.822638
-5.452417,11,13.831639
-10.858717,14,13.847637
-6.662312,13,13.85985
-7.277623,20,13.878847
-4.36179,17,13.893849
-1.850519,15,13.907848
-10.207688,8,13.914847
-5.477554,13,13.926865
-6.119939,13,13.939745
-7.438559,14,13.952753
-2.91532,13,13.964746
-6.381222,14,13.980852
-9.459929,8,13.988852
-9.595719,9,13.996851
-9.202055,14,14.00986
-6.83642,15,14.024857
-5.420879,12,14.035865
-10.258307,7,14.044857
-9.004288,7,14.052863
-3.000342,19,14.069081
-5.607708,11,14.07908
0.879668,21,14.099085
-7.623737,11,14.109081
-7.810411,12,14.120094
-0.370505,21,14.138984
-7.702887,10,14.148991
-7.643034,11,14.160395
-2.300091,20,14.180381
-6.839556,11,14.191391
-5.178019,14,14.204432
-8.358863,9,14.213515
-8.860825,13,14.225589
-5.575807,17,14.240521
-5.126107,14,14.256514
-11.452305,13,14.270777
-8.055135,18,14.287772
-7.707134,21,14.305827
-10.59202,17,14.320814
-7.323306,11,14.330606
-9.939392,9,14.339187
-1.683024,19,14.360178
-1.597546,19,14.379177
-3.865568,15,14.396295
-4.656992,15,14.411294
-2.652093,15,14.425394
-10.834385,12,14.437852
-8.3664,11,14.447863
-8.48105,14,14.461851
-9.299899,15,14.48008
-5.95218,15,14.496989
-6.089948,17,14.521668
-4.792715,17,14.580125
-8.435809,12,14.602123
-10.928729,15,14.618582
-1.563371,15,14.635095
-8.303778,9,14.645595
-5.419863,16,14.665597
-8.39807,20,14.695214
-9.438808,10,14.705224
-8.778489,8,14.714211
-10.204405,10,14.724213
-4.895932,12,14.736213
